response,c_Food.pref,c_Food.disp,c_Character,c_Char.now,c_Knowledge,c_Visibility,c_Disposition,c_Situation,c_Closer,Notes
They like hot dogs and they know where it is.,1,0,0,0,1,0,0,0,0,
Chose the longer pathe as they are sporty and like the exercise.,0,0,1,0,0,0,0,0,0,
Went for a wonder and discovered he doesnt want a hot dog so he went back round for some pizza.,0,0,0,0,0,0,1,1,0,
As they are sporty they may have finished there work out next to the pizza stand.,0,0,1,0,0,0,0,1,0,
jesse took this chosen path as their favourite food is hot dogs,1,0,0,0,0,0,0,0,0,
brooklyn prefers pizza to hot dogs,1,0,0,0,0,0,0,0,0,
charlie prefers hot dogs to pizza,1,0,0,0,0,0,0,0,0,
parker wanted pizza more than hot dogs that day,0,1,0,0,0,0,0,0,0,
taylor knows the hot dog shop is closed today,0,0,0,0,0,0,0,1,0,?
"adrian doesnt know there is a hot dog place, and cannot be bothered walking further",0,0,0,1,1,0,0,0,0,
harper wanted a hot dog,0,1,0,0,0,0,0,0,0,
"drew knows where both shops are located, and wanted a hot dog",0,1,0,0,1,0,0,0,0,
Want to walk more for exercise,0,0,0,1,0,0,0,0,0,
he is unfamiliar with the route.,0,0,0,0,1,0,0,0,0,
He wants to have hotdogs.,0,1,0,0,0,0,0,0,0,
She wants to have pizza.,0,1,0,0,0,0,0,0,0,
He wants hotdogs.,0,1,0,0,0,0,0,0,0,
He changed his mind.,0,0,0,0,0,0,1,0,0,
"he is unfamiliar with the route, but still want hotdogs.",0,1,0,0,1,0,0,0,0,
she changed her mind in the middle.,0,0,0,0,0,0,1,0,0,
There were no hot dogs left,0,0,0,0,0,0,0,1,0,
His favorite food is hot dogs,1,0,0,0,0,0,0,0,0,
He is hungry but there were no piza left,0,0,0,0,0,0,1,1,0,
He wanted to try something different,0,0,0,0,0,0,1,0,0,
The first thing he saw was the pizza truck,0,0,0,0,0,1,0,0,0,
His favorite food is hot dogs,1,0,0,0,0,0,0,0,0,
"He wanted to check out if there were any hot dog trucks around the corner, since it is his fovourite",1,0,0,0,0,0,1,0,0,
His favourite food is pizza,1,0,0,0,0,0,0,0,0,
Parker went to his favourite food stand which he knew the location of well and was not as far away as parker is lazy,1,0,1,0,1,0,0,0,0,
Drew is sporty so wanted to take a longer route,0,0,1,0,0,0,0,0,0,
Harper does not kow the area well so did not take the fastest route,0,0,0,0,1,0,0,0,0,
