"","P","Pu","K","Ku","C","Cu","S","Su","br","PKu","PCu","PSu","KCu","KSu","CSu","PK","PC","PS","KC","KS","CS","sem","prior","condition","u_set","posterior","node","ces","node3"
"124",0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,FALSE,0.000139607435000456,"c00000",13,0.000248053523057266,"Cu",-0.00162845797746759,"Cu=0"
"125",0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,FALSE,0.000497083577752079,"c00000",5,0.000883214656260325,"Cu",-0.00391999877442411,"Cu=0"
"126",0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,FALSE,0.000184066023240107,"c00000",13,0.000327047234552371,"Cu",-0.000493883830455576,"Cu=0"
"127",0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,FALSE,0.000759310874207378,"c00000",5,0.00134913829941949,"Cu",-0.00320630253917663,"Cu=0"
"128",0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,FALSE,0.000281166667485499,"c00000",13,0.000499574986359581,"Cu",-0.00368064830327868,"Cu=0"
"129",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,5.56286886404174e-05,"c00000",2,9.88406684806305e-05,"Cu",-0.00719592577476832,"Cu=0"
"130",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,2.0598852897954e-05,"c00000",10,3.65998990831624e-05,"Cu",0.00562842336323887,"Cu=0"
"131",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,8.49745799158797e-05,"c00000",2,0.000150982244737727,"Cu",-0.0123489856147625,"Cu=0"
"132",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,3.14653987813203e-05,"c00000",10,5.59075025057427e-05,"Cu",-0.00271577015409169,"Cu=0"
"133",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,0.000112035100434039,"c00000",2,0.000199063190070408,"Cu",0.00051893435534343,"Cu=0"
"134",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,4.14856903811951e-05,"c00000",10,7.37114871817876e-05,"Cu",-0.00337416643687563,"Cu=0"
